API URL,Title,Name,Catalog URL,CDI Theme,Broken
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=lca-digital-commons-database,LCA Commons Database,lca-digital-commons-database,https://catalog.data.gov/dataset/lca-digital-commons-database,"['Food Resilience', 'Food Production', 'Food Distribution']",
https://catalog.data.gov/api/3/action/package_show?id=ocean-biogeographic-information-system-obis-usa-dataset-collection-version-1-ncei-accession-01,"Ocean Biogeographic Information System (OBIS) - USA all Marine Biogeographic Records collected from 1843-01-01 to 2013-11-22, version as of 2015-01-16 (NCEI Accession 0140482)",ocean-biogeographic-information-system-obis-usa-dataset-collection-version-1-ncei-accession-01,https://catalog.data.gov/dataset/ocean-biogeographic-information-system-obis-usa-dataset-collection-version-1-ncei-accession-01,"['Ecosystem Vulnerability', 'Biodiversity']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=usepa-environmental-quality-index-eqi-air-water-land-built-and-sociodemographic-domains-non-tr,"USEPA Environmental Quality Index (EQI) - Air, Water, Land, Built, and Sociodemographic Domains Non-Transformed Variables Dataset as Input for the USEPA EQI, by County for the United States",usepa-environmental-quality-index-eqi-air-water-land-built-and-sociodemographic-domains-non-tr,https://catalog.data.gov/dataset/usepa-environmental-quality-index-eqi-air-water-land-built-and-sociodemographic-domains-non-tr,Human Health,
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=international-tree-ring-data-bank-itrdb,International Tree Ring Data Bank (ITRDB),international-tree-ring-data-bank-itrdb,https://catalog.data.gov/dataset/international-tree-ring-data-bank-itrdb,"['Permafrost and Arctic Landscapes', 'Arctic Peoples and Ecosystems', 'Arctic']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=gages-ii-geospatial-attributes-of-gages-for-evaluating-streamflow,GAGES-II: Geospatial Attributes of Gages for Evaluating Streamflow,gages-ii-geospatial-attributes-of-gages-for-evaluating-streamflow,https://catalog.data.gov/dataset/gages-ii-geospatial-attributes-of-gages-for-evaluating-streamflow,"['Energy Infrastructure', 'Water Resources', 'Ecosystem Vulnerability', 'Water']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=usgs-water-use-data-for-the-nation-national-water-information-system-nwis,USGS Water Use Data for the Nation - National Water Information System (NWIS),usgs-water-use-data-for-the-nation-national-water-information-system-nwis,https://catalog.data.gov/dataset/usgs-water-use-data-for-the-nation-national-water-information-system-nwis,"['Permafrost and Arctic Landscapes', 'Arctic', 'Atmospheric, Earth and Ocean Sciences', 'Ecosystem Vulnerability', 'Water']",
https://catalog.data.gov/api/3/action/package_show?id=integrated-taxonomic-information-system-itis,Integrated Taxonomic Information System (ITIS),integrated-taxonomic-information-system-itis,https://catalog.data.gov/dataset/integrated-taxonomic-information-system-itis,"['Ecosystem Vulnerability', 'Biodiversity']",
https://catalog.data.gov/api/3/action/package_show?id=tiger-line-shapefile-2018-nation-u-s-current-american-indian-alaska-native-native-hawaiian-area,"TIGER/Line Shapefile, 2018,  nation, U.S., Current American Indian/Alaska Native/Native Hawaiian Areas National (AIANNH)
National",tiger-line-shapefile-2018-nation-u-s-current-american-indian-alaska-native-native-hawaiian-area,https://catalog.data.gov/dataset/tiger-line-shapefile-2018-nation-u-s-current-american-indian-alaska-native-native-hawaiian-area,"['Permafrost and Arctic Landscapes', 'Arctic Development and Transport', 'Arctic Peoples and Ecosystems', 'Arctic']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=insect-data,Insect Data,insect-data,https://catalog.data.gov/dataset/insect-data,"['Arctic Weather and Extreme Events', 'Arctic Peoples and Ecosystems', 'Arctic']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=soil-organic-carbon-stock,Soil Organic Carbon Stock,soil-organic-carbon-stock,https://catalog.data.gov/dataset/soil-organic-carbon-stock,"['Ecosystem Vulnerability', 'Carbon Balance']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=stewards-sustaining-the-earths-watersheds-agricultural-research-data-system,"STEWARDS: Sustaining the Earth's Watersheds, Agricultural Research Data System",stewards-sustaining-the-earths-watersheds-agricultural-research-data-system,https://catalog.data.gov/dataset/stewards-sustaining-the-earths-watersheds-agricultural-research-data-system,Water,
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=methane-flux,Methane Flux,methane-flux,https://catalog.data.gov/dataset/methane-flux,"['Human Health', 'Ecosystem Vulnerability', 'Carbon Balance', 'Ecosystem Services and Processes']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=biomass-carbon-stock,Biomass Carbon Stock,biomass-carbon-stock,https://catalog.data.gov/dataset/biomass-carbon-stock,"['Ecosystem Vulnerability', 'Carbon Balance']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=national-air-toxic-assessments-nata-results,National Air Toxic Assessments (NATA) Results,national-air-toxic-assessments-nata-results,https://catalog.data.gov/dataset/national-air-toxic-assessments-nata-results,Human Health,
https://catalog.data.gov/api/3/action/package_show?id=global-ecological-land-units-elus,Global Ecological Land Units (ELUs),global-ecological-land-units-elus,https://catalog.data.gov/dataset/global-ecological-land-units-elus,"['Permafrost and Arctic Landscapes', 'Arctic Peoples and Ecosystems', 'Arctic']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=ice-cores,Ice Cores,ice-cores,https://catalog.data.gov/dataset/ice-cores,"['Melting Glaciers, Snow and Ice', 'Arctic Weather and Extreme Events', 'Arctic']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=hydrologic-landscape-regions-of-the-united-states,Hydrologic landscape regions of the United States,hydrologic-landscape-regions-of-the-united-states,https://catalog.data.gov/dataset/hydrologic-landscape-regions-of-the-united-states,"['Water', 'Water Resources', 'Ecosystem Vulnerability']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=drainage-basins-used-for-assessing-trends-in-concentration-of-pesticides-in-streams-o-1992-2010,"Drainage Basins Used for Assessing Trends in Concentration of Pesticides in Streams of the United States, 1992-2010",drainage-basins-used-for-assessing-trends-in-concentration-of-pesticides-in-streams-o-1992-2010,https://catalog.data.gov/dataset/drainage-basins-used-for-assessing-trends-in-concentration-of-pesticides-in-streams-o-1992-2010,Human Health,
https://catalog.data.gov/api/3/action/package_show?id=germplasm-resources-information-network-grin-58cbd,Germplasm Resources Information Network (GRIN),germplasm-resources-information-network-grin-58cbd,https://catalog.data.gov/dataset/germplasm-resources-information-network-grin-58cbd,"['Arctic', 'Permafrost and Arctic Landscapes', 'Arctic Peoples and Ecosystems', 'Food Production', 'Food Resilience']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=avian-habitat-data-seward-peninsula-alaska-2012,"Avian Habitat Data; Seward Peninsula, Alaska, 2012",avian-habitat-data-seward-peninsula-alaska-2012,https://catalog.data.gov/dataset/avian-habitat-data-seward-peninsula-alaska-2012,"['Permafrost and Arctic Landscapes', 'Arctic Peoples and Ecosystems', 'Arctic']",
https://catalog.data.gov/api/3/action/package_show?id=terrestrial-ecosystems-surficial-lithology-of-the-conterminous-united-states,Terrestrial Ecosystems - Surficial Lithology of the Conterminous United States,terrestrial-ecosystems-surficial-lithology-of-the-conterminous-united-states,https://catalog.data.gov/dataset/terrestrial-ecosystems-surficial-lithology-of-the-conterminous-united-states,"['Ecosystem Vulnerability', 'Biodiversity']",
https://catalog.data.gov/api/3/action/package_show?id=arctic-bathymetry-batharcst,Arctic Bathymetry (batharcst),arctic-bathymetry-batharcst,https://catalog.data.gov/dataset/arctic-bathymetry-batharcst,"['Energy Infrastructure', 'Arctic Ocean, Sea Ice and Coasts', 'Permafrost and Arctic Landscapes', 'Arctic']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=base-flow-index-grid-for-the-conterminous-united-states,Base-flow index grid for the conterminous United States,base-flow-index-grid-for-the-conterminous-united-states,https://catalog.data.gov/dataset/base-flow-index-grid-for-the-conterminous-united-states,Water,
https://catalog.data.gov/api/3/action/package_show?id=conterminous-united-states-land-cover-projections-1992-to-2100,Conterminous United States Land Cover Projections - 1992 to 2100,conterminous-united-states-land-cover-projections-1992-to-2100,https://catalog.data.gov/dataset/conterminous-united-states-land-cover-projections-1992-to-2100,"['Ecosystem Vulnerability', 'Carbon Balance']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=hydro-climatic-data-network-hcdn-a-usgs-streamflow-data-set-for-the-u-s-for-the-study-of-clima,Hydro-Climatic Data Network (HCDN) -- A USGS Streamflow Data Set for the U.S. for the Study of Climate Fluctuations,hydro-climatic-data-network-hcdn-a-usgs-streamflow-data-set-for-the-u-s-for-the-study-of-clima,https://catalog.data.gov/dataset/hydro-climatic-data-network-hcdn-a-usgs-streamflow-data-set-for-the-u-s-for-the-study-of-clima,"['Atmospheric, Earth and Ocean Sciences', 'Ecosystem Vulnerability', 'Water']",
https://catalog.data.gov/api/3/action/package_show?id=terrestrial-ecosystems-of-the-conterminous-united-states,Terrestrial Ecosystems of the Conterminous United States,terrestrial-ecosystems-of-the-conterminous-united-states,https://catalog.data.gov/dataset/terrestrial-ecosystems-of-the-conterminous-united-states,"['Ecosystem Vulnerability', 'Biodiversity']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=paleolimnology,Paleolimnology,paleolimnology,https://catalog.data.gov/dataset/paleolimnology,"['Arctic Weather and Extreme Events', 'Permafrost and Arctic Landscapes', 'Arctic Peoples and Ecosystems', 'Arctic']",
https://catalog.data.gov/api/3/action/package_show?id=gldas-noah-land-surface-model-l4-monthly-1-0-x-1-0-degree-v2-0-gldas-noah10-m-at-ges-disc,GLDAS Noah Land Surface Model L4 monthly 1.0 x 1.0 degree V2.0 (GLDAS_NOAH10_M) at GES DISC,gldas-noah-land-surface-model-l4-monthly-1-0-x-1-0-degree-v2-0-gldas-noah10-m-at-ges-disc,https://catalog.data.gov/dataset/gldas-noah-land-surface-model-l4-monthly-1-0-x-1-0-degree-v2-0-gldas-noah10-m-at-ges-disc,Water,
https://catalog.data.gov/api/3/action/package_show?id=daily-statistically-downscaled-climate-projections-for-the-us-and-southern-canada-east-of-the-r,Daily Statistically Downscaled Climate Projections for the US and southern Canada east of the Rocky Mountains.,daily-statistically-downscaled-climate-projections-for-the-us-and-southern-canada-east-of-the-r,https://catalog.data.gov/dataset/daily-statistically-downscaled-climate-projections-for-the-us-and-southern-canada-east-of-the-r,Water,
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=landcarbon-conterminous-united-states-burned-area-and-severity-mosaics-2001-2050-metadata,LandCarbon Conterminous United States Burned Area and Severity Mosaics 2001-2050 Metadata,landcarbon-conterminous-united-states-burned-area-and-severity-mosaics-2001-2050-metadata,https://catalog.data.gov/dataset/landcarbon-conterminous-united-states-burned-area-and-severity-mosaics-2001-2050-metadata,"['Fire Regimes', 'Carbon Balance', 'Energy Infrastructure', 'Human Health', 'Ecosystem Vulnerability']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=attributes-for-nhdplus-catchments-version-1-1-for-the-conterminous-united-states-level-3-ecoreg,Attributes for NHDPlus Catchments (Version 1.1) for the Conterminous United States: Level 3 Ecoregions,attributes-for-nhdplus-catchments-version-1-1-for-the-conterminous-united-states-level-3-ecoreg,https://catalog.data.gov/dataset/attributes-for-nhdplus-catchments-version-1-1-for-the-conterminous-united-states-level-3-ecoreg,Water,
https://catalog.data.gov/api/3/action/package_show?id=terrestrial-ecosystems-land-surface-forms-of-the-conterminous-united-states,Terrestrial Ecosystems - Land Surface Forms of the Conterminous United States,terrestrial-ecosystems-land-surface-forms-of-the-conterminous-united-states,https://catalog.data.gov/dataset/terrestrial-ecosystems-land-surface-forms-of-the-conterminous-united-states,"['Ecosystem Vulnerability', 'Biodiversity']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=forest-stand-age,Forest Stand Age,forest-stand-age,https://catalog.data.gov/dataset/forest-stand-age,"['Ecosystem Vulnerability', 'Carbon Balance']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=ars-plant-hardiness-zone-map-phzm,ARS Plant Hardiness Zone Map (PHZM),ars-plant-hardiness-zone-map-phzm,https://catalog.data.gov/dataset/ars-plant-hardiness-zone-map-phzm,"['Food Resilience', 'Arctic', 'Permafrost and Arctic Landscapes', 'Arctic Peoples and Ecosystems']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=usgs-surface-water-data-for-the-nation-national-water-information-system-nwis,USGS Surface-Water Data for the Nation - National Water Information System (NWIS),usgs-surface-water-data-for-the-nation-national-water-information-system-nwis,https://catalog.data.gov/dataset/usgs-surface-water-data-for-the-nation-national-water-information-system-nwis,"['Permafrost and Arctic Landscapes', 'Arctic', 'Energy Infrastructure', 'Atmospheric, Earth and Ocean Sciences', 'Ecosystem Vulnerability', 'Water']",
https://catalog.data.gov/api/3/action/package_show?id=terrestrial-ecosystems-isobioclimates-of-the-conterminous-united-states,Terrestrial Ecosystems - Isobioclimates of the Conterminous United States,terrestrial-ecosystems-isobioclimates-of-the-conterminous-united-states,https://catalog.data.gov/dataset/terrestrial-ecosystems-isobioclimates-of-the-conterminous-united-states,"['Ecosystem Vulnerability', 'Biodiversity']",
https://catalog.data.gov/api/3/action/package_show?id=circum-arctic-resource-appraisal-north-of-the-arctic-circle-assessment-units,Circum-Arctic Resource Appraisal (north of the Arctic Circle) Assessment Units,circum-arctic-resource-appraisal-north-of-the-arctic-circle-assessment-units,https://catalog.data.gov/dataset/circum-arctic-resource-appraisal-north-of-the-arctic-circle-assessment-units,"['Permafrost and Arctic Landscapes', 'Arctic Development and Transport', 'Arctic']",
https://catalog.data.gov/api/3/action/package_show?id=usgs-national-assessment-of-oil-and-gas-project-shale-gas-assessment-units,USGS National Assessment of Oil and Gas Project - Shale Gas Assessment Units,usgs-national-assessment-of-oil-and-gas-project-shale-gas-assessment-units,https://catalog.data.gov/dataset/usgs-national-assessment-of-oil-and-gas-project-shale-gas-assessment-units,"['Energy Infrastructure', 'Energy Resources', 'Energy Supply']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=attributes-for-nhdplus-catchments-version-1-1-in-the-conterminous-united-states-bedrock-geology,Attributes for NHDPlus Catchments (Version 1.1) in the Conterminous United States: Bedrock Geology,attributes-for-nhdplus-catchments-version-1-1-in-the-conterminous-united-states-bedrock-geology,https://catalog.data.gov/dataset/attributes-for-nhdplus-catchments-version-1-1-in-the-conterminous-united-states-bedrock-geology,Water,
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=glas-icesat-l1b-global-elevation-data-v033,GLAS/ICESat L1B Global Elevation Data V033,glas-icesat-l1b-global-elevation-data-v033,https://catalog.data.gov/dataset/glas-icesat-l1b-global-elevation-data-v033,"['Arctic', 'Melting Glaciers, Snow and Ice', 'Permafrost and Arctic Landscapes']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=total-ecosystem-carbon-stock,Total Ecosystem Carbon Stock,total-ecosystem-carbon-stock,https://catalog.data.gov/dataset/total-ecosystem-carbon-stock,"['Ecosystem Vulnerability', 'Carbon Balance']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=attributes-for-nhdplus-catchments-version-1-1-for-the-conterminous-united-states-statsgo-soil-c,Attributes for NHDPlus Catchments (Version 1.1) for the Conterminous United States: STATSGO Soil Characteristics,attributes-for-nhdplus-catchments-version-1-1-for-the-conterminous-united-states-statsgo-soil-c,https://catalog.data.gov/dataset/attributes-for-nhdplus-catchments-version-1-1-for-the-conterminous-united-states-statsgo-soil-c,Water,
https://catalog.data.gov/api/3/action/package_show?id=terrestrial-ecosystems-topographic-moisture-potential-of-the-conterminous-united-states,Terrestrial Ecosystems - Topographic Moisture Potential of the Conterminous United States,terrestrial-ecosystems-topographic-moisture-potential-of-the-conterminous-united-states,https://catalog.data.gov/dataset/terrestrial-ecosystems-topographic-moisture-potential-of-the-conterminous-united-states,"['Ecosystem Vulnerability', 'Biodiversity']",
https://catalog.data.gov/api/3/action/package_show?id=national-fish-habitat-partnership-data-system,National Fish Habitat Partnership Data System,national-fish-habitat-partnership-data-system,https://catalog.data.gov/dataset/national-fish-habitat-partnership-data-system,"['Ecosystem Vulnerability', 'Biodiversity', 'Land Cover and Land Use']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=attributes-for-nhdplus-catchments-version-1-1-for-the-conterminous-united-states-hydrologic-lan,Attributes for NHDPlus Catchments (Version 1.1) for the Conterminous United States: Hydrologic Landscape Regions,attributes-for-nhdplus-catchments-version-1-1-for-the-conterminous-united-states-hydrologic-lan,https://catalog.data.gov/dataset/attributes-for-nhdplus-catchments-version-1-1-for-the-conterminous-united-states-hydrologic-lan,Water,
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=gridded-population-of-the-world-version-2-gpwv2-74527,"Gridded Population of the World, Version 2 (GPWv2)",gridded-population-of-the-world-version-2-gpwv2-74527,https://catalog.data.gov/dataset/gridded-population-of-the-world-version-2-gpwv2-74527,Human Health,
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=water-level-change-high-plains-aquifer-2005-to-2009,"Water-level change, High Plains aquifer, 2005 to 2009",water-level-change-high-plains-aquifer-2005-to-2009,https://catalog.data.gov/dataset/water-level-change-high-plains-aquifer-2005-to-2009,"['Water Resources', 'Ecosystem Vulnerability']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=attributes-for-nhdplus-catchments-version-1-1-for-the-conterminous-united-states-populatio-2000,"Attributes for NHDplus Catchments (Version 1.1) for the Conterminous United States: Population Density, 2000",attributes-for-nhdplus-catchments-version-1-1-for-the-conterminous-united-states-populatio-2000,https://catalog.data.gov/dataset/attributes-for-nhdplus-catchments-version-1-1-for-the-conterminous-united-states-populatio-2000,Water,
https://catalog.data.gov/api/3/action/package_show?id=geologic-provinces-of-the-circum-arctic-2008-north-of-the-arctic-circle,"Geologic Provinces of the Circum-Arctic, 2008 (north of the Arctic Circle)",geologic-provinces-of-the-circum-arctic-2008-north-of-the-arctic-circle,https://catalog.data.gov/dataset/geologic-provinces-of-the-circum-arctic-2008-north-of-the-arctic-circle,"['Arctic Development and Transport', 'Arctic']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=nitrous-oxide-flux,Nitrous Oxide Flux,nitrous-oxide-flux,https://catalog.data.gov/dataset/nitrous-oxide-flux,"['Ecosystem Vulnerability', 'Carbon Balance']",
https://catalog.data.gov/api/3/action/package_show?id=map-service-united-states-oil-and-gas-production-2008,Map service: United States Oil and Gas Production 2008,map-service-united-states-oil-and-gas-production-2008,https://catalog.data.gov/dataset/map-service-united-states-oil-and-gas-production-2008,"['Energy Infrastructure', 'Energy Resources', 'Energy Supply']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=attributes-for-nhdplus-catchments-version-1-1-for-the-conterminous-united-states-surficial-geol,Attributes for NHDPlus Catchments (Version 1.1) for the Conterminous United States: Surficial Geology,attributes-for-nhdplus-catchments-version-1-1-for-the-conterminous-united-states-surficial-geol,https://catalog.data.gov/dataset/attributes-for-nhdplus-catchments-version-1-1-for-the-conterminous-united-states-surficial-geol,Water,
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=net-ecosystem-carbon-flux,Net Ecosystem Carbon Flux,net-ecosystem-carbon-flux,https://catalog.data.gov/dataset/net-ecosystem-carbon-flux,"['Ecosystem Vulnerability', 'Carbon Balance']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=attributes-for-nhdplus-catchments-version-1-1-for-the-conterminous-united-states-nlcd-2001-impe,Attributes for NHDPlus Catchments (Version 1.1) for the Conterminous United States: NLCD 2001 Imperviousness,attributes-for-nhdplus-catchments-version-1-1-for-the-conterminous-united-states-nlcd-2001-impe,https://catalog.data.gov/dataset/attributes-for-nhdplus-catchments-version-1-1-for-the-conterminous-united-states-nlcd-2001-impe,Water,
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=roe-carbon-storage-percent-change,ROE Carbon Storage - Percent Change,roe-carbon-storage-percent-change,https://catalog.data.gov/dataset/roe-carbon-storage-percent-change,"['Ecosystem Vulnerability', 'Carbon Balance']",
https://catalog.data.gov/api/3/action/package_show?id=tiger-line-shapefile-2018-nation-u-s-current-american-indian-tribal-subdivision-aits-national,"TIGER/Line Shapefile, 2018,  nation, U.S., Current American Indian Tribal Subdivision (AITS) National",tiger-line-shapefile-2018-nation-u-s-current-american-indian-tribal-subdivision-aits-national,https://catalog.data.gov/dataset/tiger-line-shapefile-2018-nation-u-s-current-american-indian-tribal-subdivision-aits-national,"['Permafrost and Arctic Landscapes', 'Arctic Development and Transport', 'Arctic Peoples and Ecosystems', 'Arctic']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=glas-icesat-l2-sea-ice-altimetry-data-v033,GLAS/ICESat L2 Sea Ice Altimetry Data V033,glas-icesat-l2-sea-ice-altimetry-data-v033,https://catalog.data.gov/dataset/glas-icesat-l2-sea-ice-altimetry-data-v033,"['Arctic', 'Arctic Ocean, Sea Ice and Coasts', 'Melting Glaciers, Snow and Ice']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=daymet-daily-surface-weather-data-on-a-1-km-grid-for-north-america-version-2,"Daymet: Daily Surface Weather Data on a 1-km Grid for North America, Version 3",daymet-daily-surface-weather-data-on-a-1-km-grid-for-north-america-version-2,https://catalog.data.gov/dataset/daymet-daily-surface-weather-data-on-a-1-km-grid-for-north-america-version-2,"['Atmospheric, Earth and Ocean Sciences', 'Ecosystem Vulnerability', 'Water']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=garmin-gps-waypoints-delineating-low-altitude-transects-over-the-arctic-network-of-nationa-2013,"Garmin GPS waypoints delineating low-altitude transects over the Arctic Network of national park units and Selawik National Wildlife Refuge, Alaska, July 2013",garmin-gps-waypoints-delineating-low-altitude-transects-over-the-arctic-network-of-nationa-2013,https://catalog.data.gov/dataset/garmin-gps-waypoints-delineating-low-altitude-transects-over-the-arctic-network-of-nationa-2013,"['Permafrost and Arctic Landscapes', 'Arctic Peoples and Ecosystems', 'Arctic']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=noaa-climate-data-record-cdr-of-sea-surface-temperature-sst-from-avhrr-pathfinder-version-5-2,"NOAA Climate Data Record (CDR) of Sea Surface Temperature (SST) from AVHRR Pathfinder, Version 5.2",noaa-climate-data-record-cdr-of-sea-surface-temperature-sst-from-avhrr-pathfinder-version-5-2,https://catalog.data.gov/dataset/noaa-climate-data-record-cdr-of-sea-surface-temperature-sst-from-avhrr-pathfinder-version-5-2,"['Arctic Ocean, Sea Ice and Coasts', 'Arctic', 'Ecosystem Vulnerability', 'Atmospheric, Earth and Ocean Sciences', 'Transportation', 'Physical Data', 'Coastal Flooding']",
https://catalog.data.gov/api/3/action/package_show?id=arctic-health-research-center-report-no-101-combating-mosquitoes-in-arctic-alaska,Arctic Health Research Center report no. 101: Combating mosquitoes in arctic Alaska,arctic-health-research-center-report-no-101-combating-mosquitoes-in-arctic-alaska,https://catalog.data.gov/dataset/arctic-health-research-center-report-no-101-combating-mosquitoes-in-arctic-alaska,"['Arctic Weather and Extreme Events', 'Arctic Development and Transport', 'Arctic Peoples and Ecosystems', 'Arctic']",
https://catalog.data.gov/api/3/action/package_show?id=geologic-provinces-of-the-arctic-2000-prvarcst,"Geologic Provinces of the Arctic, 2000 (prvarcst)",geologic-provinces-of-the-arctic-2000-prvarcst,https://catalog.data.gov/dataset/geologic-provinces-of-the-arctic-2000-prvarcst,"['Arctic Development and Transport', 'Arctic']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=usgs-streamgages-linked-to-the-medium-resolution-nhd,USGS Streamgages Linked to the Medium Resolution NHD,usgs-streamgages-linked-to-the-medium-resolution-nhd,https://catalog.data.gov/dataset/usgs-streamgages-linked-to-the-medium-resolution-nhd,"['Atmospheric, Earth and Ocean Sciences', 'Ecosystem Vulnerability']",
